id,country,region,date,lockdown,ref
54,China,Anhui,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
55,China,Beijing,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
56,China,Chongqing,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
57,China,Fujian,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
58,China,Gansu,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
59,China,Guangdong,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
60,China,Guangxi,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
61,China,Guizhou,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
62,China,Hainan,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
63,China,Hebei,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
64,China,Heilongjiang,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
65,China,Henan,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
66,China,Hong Kong,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong
67,China,Hubei,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
68,China,Hunan,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
69,China,Inner Mongolia,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
70,China,Jiangsu,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
71,China,Jiangxi,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
72,China,Jilin,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
73,China,Liaoning,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
74,China,Macau,26/01/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Macau
75,China,Ningxia,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
76,China,Qinghai,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
77,China,Shaanxi,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
78,China,Shandong,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
79,China,Shanghai,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
80,China,Shanxi,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
81,China,Sichuan,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
82,China,Tianjin,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
83,China,Tibet,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
84,China,Xinjiang,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
85,China,Yunnan,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
86,China,Zhejiang,23/01/2020,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
87,Colombia,,25/03/2020,Full,https://www.theguardian.com/world/2020/mar/23/colombian-groups-exploiting-coronavirus-lockdown-to-kill-activists
88,Congo (Brazzaville),,,None,
89,Congo (Kinshasa),,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Democratic_Republic_of_the_Congo
90,Costa Rica,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Costa_Rica
91,Cote dIvoire,,29/03/2020,Full,
92,Croatia,,22/03/2020,Partial,https://www.wfmz.com/news/croatia-quake-injures-amid-partial-coronavirus-lockdown/image_45bd4c4f-1ed0-5361-b5ca-d9d228fc5e5f.html
93,Cuba,,,None,
94,Cyprus,,25/03/2020,Full,https://www.reuters.com/article/us-health-coronavirus-cyprus-lockdown/cyprus-announces-lockdown-on-coronavirus-until-april-13-idUSKBN21A3C8
95,Czechia,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic
96,Denmark,Faroe Islands,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Faroe_Islands
97,Denmark,,11/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#many-countries-have-also-closed-borders-to-prevent-international-travelers-from-spreading-the-virus-29
98,Diamond Princess,,,None,
99,Djibouti,,,None,
100,Dominica,,,None,
101,Dominican Republic,,17/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic
102,Ecuador,,24/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ecuador
103,Egypt,,24/03/2020,Full,https://www.thenational.ae/world/mena/curfew-crash-kills-18-as-egypt-enters-lockdown-1.997575
104,El Salvador,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_El_Salvador
105,Equatorial Guinea,,,None,
