id,country,region,date,lockdown,ref
276,US,Nevada,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
277,US,New Hampshire,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
278,US,New Jersey,21/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
279,US,New Mexico,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
280,US,New York,22/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
281,US,North Carolina,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
282,US,North Dakota,,None,
283,US,Ohio,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
284,US,Oklahoma,,None,
285,US,Oregon,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
286,US,Pennsylvania,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
287,US,Puerto Rico,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico
288,US,Rhode Island,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
289,US,South Carolina,,None,
290,US,South Dakota,,None,
291,US,Tennessee,31/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
292,US,Texas,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
293,US,Utah,,None,
294,US,Vermont,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
295,US,Virgin Islands,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands
296,US,Virginia,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
297,US,Washington,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
298,US,West Virginia,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
299,US,Wisconsin,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
300,US,Wyoming,,None,
301,Uzbekistan,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan
302,Vatican City,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City
303,Venezuela,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela
304,Vietnam,,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam
305,West Bank and Gaza,,05/03/2020,Full,
306,Zambia,,,None,
307,Zimbabwe,,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Zimbabwe
